,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,usCite_1,usCite_2,,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
321,1812-033,1812-033-01,1812-033-01-01,1812-033-01-01-01,3/14/1812,1,11 U.S. 32,11,32,,,3 L. Ed. 259,1812 U.S. LEXIS 365,1812,406,Marshall,,THE UNITED STATES v. HUDSON AND GOODWIN,,,27,,190,,4,,,0,406,,406,,1,1,,,1,10,0,2,0,0,30030,3,2,0,1,7,1,120,,15,14,1,7,0
427,1815-006,1815-006-01,1815-006-01-01,1815-006-01-01-01,2/17/1815,1,13 U.S. 43,13,43,,,3 L. Ed. 650,1815 U.S. LEXIS 366,1815,406,Marshall,,TERRETT AND OTHERS v. TAYLOR AND OTHERS,2/19/1814,,195,,195,,13,,,0,440,,440,,0,1,,1,3,5,0,1,0,0,30160,3,2,0,7,2,8,800,,19,14,1,5,0
453,1815-032,1815-032-01,1815-032-01-01,1815-032-01-01-01,3/10/1815,1,13 U.S. 292,13,292,,,3 L. Ed. 735,1815 U.S. LEXIS 392,1815,406,Marshall,,"THE TOWN OF PAWLET v. DANIEL CLARK, AND OTHERS",,,3,34,195,,4,,,0,435,,435,,1,1,,,1,10,0,2,0,0,30170,3,2,0,3,,9,900,,19,14,1,7,0
769,1824-023,1824-023-01,1824-023-01-01,1824-023-01-01-01,3/11/1824,1,22 U.S. 445,22,445,,,6 L. Ed. 131,1824 U.S. LEXIS 380,1824,407,Marshall,,"JOHN MASON, APPELLANT, v. JOHN MUNCASTER, SURVIVOR OF GEORGE DENEALE AND JOHN MUNCASTER, CHURCH-WARDENS OF CHRIST CHURCH, FAIRFAX PARISH, ALEXANDRIA, AND THE SAID JOHN MUNCASTER AND EDMUND J. LEE, PRESENT CHURCH-WARDENS OF THE SAID CHURCH, et al., RESPONDENTS",2/14/1824,,123,,130,,2,,,0,440,,440,,0,1,,2,1,2,0,0,0,0,30160,3,2,0,7,,9,900,,19,14,1,6,0
1677,1845-032,1845-032-01,1845-032-01-01,1845-032-01-01-01,2/11/1845,1,44 U.S. 266,44,266,,,11 L. Ed. 591,1845 U.S. LEXIS 433,1845,505,Taney,,"ROBERT WHITE, PLAINTIFF IN ERROR, v. WILLIAM S. NICHOLLS, WILLIAM ROBINSON, OTHO M. LINTHICUM, EDWARD M. LINTHICUM, RAPHAEL SEMMES, PAUL STEVENS, AND CHARLES C. FULTON, DEFENDANTS IN ERROR.",1/15/1845,,174,,137,,4,,,0,409,,409,,1,1,,,1,10,0,2,0,0,30030,3,2,0,7,,6,600,,29,25,1,7,0
1693,1845-048,1845-048-01,1845-048-01-01,1845-048-01-01-01,3/5/1845,1,44 U.S. 589,44,589,,,11 L. Ed. 739,1845 U.S. LEXIS 449,1845,506,Taney,,"BERNARD PERMOLI, PLAINTIFF IN ERROR, v. MUNICIPALITY NO. 1 OF THE CITY OF NEW ORLEANS, DEFENDANT IN ERROR",1/29/1845,2/28/1845,130,,3,22,13,,,0,302,22,301,22,0,1,3,1,1,9,0,0,0,0,30160,3,1,0,2,4,2,202,,27,25,1,8,0
3183,1866-028,1866-028-01,1866-028-01-01,1866-028-01-01-01,1/14/1867,1,71 U.S. 277,71,277,,,18 L. Ed. 356,1866 U.S. LEXIS 885,1866,601,Chase,,CUMMINGS v. THE STATE OF MISSOURI,3/15/1866,,110,,28,30,13,,,0,302,30,300,30,0,1,2,1,3,4,0,1,0,0,30070,3,2,0,2,,1,127,,39,24,1,5,4
3184,1866-029,1866-029-01,1866-029-01-01,1866-029-01-01-01,1/14/1867,1,71 U.S. 333,71,333,,,18 L. Ed. 366,1866 U.S. LEXIS 886,1866,601,Chase,,ex parte GARLAND,12/15/1865,3/13/1866,111,,27,,9,,,0,,,,,0,1,,,2,,0,1,0,0,30080,3,2,0,1,,1,127,,39,24,1,5,4
4004,1871-152,1871-152-01,1871-152-01-01,1871-152-01-01-01,4/15/1872,1,80 U.S. 679,80,679,,,20 L. Ed. 666,1871 U.S. LEXIS 1383,1871,602,Chase,,WATSON v. JONES,3/9/1871,,102,,102,,2,,,0,414,,414,,0,1,,2,1,2,0,0,0,0,30160,3,2,0,7,,9,900,,37,36,1,5,2
4107,1872-056,1872-056-01,1872-056-01-01,1872-056-01-01-01,1/6/1873,1,83 U.S. 234,83,234,,,21 L. Ed. 276,1872 U.S. LEXIS 1152,1872,602,Chase,,PIERCE et al. v. CARSKADON,,,137,,174,,13,,,0,300,57,300,57,0,1,,1,3,4,0,1,0,0,30070,3,2,0,3,2,1,122,,39,40,1,7,1
5357,1877-243,1877-243-01,1877-243-01-01,1877-243-01-01-01,5/13/1878,1,96 U.S. 727,96,727,,,24 L. Ed. 877,1877 U.S. LEXIS 1718,1877,702,Waite,,ex parte JACKSON,4/30/1878,,215,,19,60,14,,,0,426,,426,,0,1,,2,1,9,0,0,0,0,30010,3,2,0,1,,2,200,,39,44,1,9,0
5446,1878-065,1878-065-01,1878-065-01-01,1878-065-01-01-01,1/6/1879,1,98 U.S. 145,98,145,,,25 L. Ed. 244,1878 U.S. LEXIS 1374,1878,702,Waite,180,REYNOLDS v. UNITED STATES,11/14/1878,,126,,27,,13,,,0,17,52,15,52,0,1,2,1,1,2,0,0,0,0,30160,3,1,0,1,,2,202,,44,44,1,9,0
7246,1885-091,1885-091-01,1885-091-01-01,1885-091-01-01-01,1/4/1886,1,116 U.S. 252,116,252,,6 S. Ct. 580,29 L. Ed. 615,1886 U.S. LEXIS 1760,1885,706,Waite,73,PRESSER v. ILLINOIS,11/23/1885,,126,,28,17,13,,,0,302,17,300,17,0,1,2,1,1,2,0,0,0,0,30150,3,1,0,4,,2,239,,46,44,1,9,0
7265,1885-110,1885-110-01,1885-110-01-01,1885-110-01-01-01,1/18/1886,1,116 U.S. 404,116,404,,6 S. Ct. 427,29 L. Ed. 680,1886 U.S. LEXIS 1777,1885,706,Waite,1143,GIBBONS v. DISTRICT OF COLUMBIA,,,130,,28,10,2,,,0,19,,19,,0,1,,1,1,2,0,0,0,0,30160,3,1,0,4,,8,800,,48,44,1,9,0
8399,1889-117,1889-117-01,1889-117-01-01,1889-117-01-01-01,2/3/1890,1,133 U.S. 333,133,333,,10 S. Ct. 299,33 L. Ed. 637,1890 U.S. LEXIS 1915,1889,802,Fuller,1261,DAVIS v. BEASON,12/9/1889,,126,,5,16,2,,,0,17,16,17,16,0,1,,1,1,2,0,0,0,0,30170,3,1,0,4,2,2,203,,39,51,1,9,0
8503,1889-221,1889-221-01,1889-221-01-01,1889-221-01-01-01,4/28/1890,1,135 U.S. 255,135,255,,10 S. Ct. 756,34 L. Ed. 117,1890 U.S. LEXIS 2019,1889,802,Fuller,241,UNITED STATES v. CHASE,3/28/1890,,27,,100,,4,117,10,0,418,,418,,1,1,,,1,10,0,2,0,0,30200,3,2,0,4,,6,600,7/12/76 chap. 186,50,51,1,9,0
8534,1889-258,1889-258-01,1889-258-01-01,1889-258-01-01-01,5/19/1890,1,136 U.S. 1,136,1,,10 S. Ct. 792,34 L. Ed. 478,1890 U.S. LEXIS 2199,1889,802,Fuller,1031,THE LATE CORPORATION OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS v. UNITED STATES.,1/16/1889,,130,,27,,2,,,0,17,52,17,52,0,1,,1,1,2,0,0,0,0,30160,3,1,0,4,,5,512,,42,37,1,6,3
8636,1890-067,1890-067-01,1890-067-01-01,1890-067-01-01-01,5/19/1890,4,140 U.S. 665,140,665,,11 S. Ct. 884,35 L. Ed. 592,1890 U.S. LEXIS 2127,1890,802,Fuller,695,THE LATE CORPORATION OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS v. UNITED STATES.,,,130,,27,,2,,,0,15,52,15,52,0,1,,1,1,2,0,0,0,0,30160,3,1,0,2,,2,202,,,51,1,9,0
9010,1891-129,1891-129-01,1891-129-01-01,1891-129-01-01-01,2/29/1892,1,143 U.S. 457,143,457,,12 S. Ct. 511,36 L. Ed. 226,1892 U.S. LEXIS 2036,1891,803,Fuller,143,CHURCH OF THE HOLY TRINITY v. UNITED STATES,1/7/1892,,151,,27,,13,,,0,426,,426,,0,1,,1,1,4,0,1,0,0,30160,3,2,0,7,,9,900,,52,51,1,8,0
9430,1893-026,1893-026-01,1893-026-01-01,1893-026-01-01-01,11/6/1893,1,150 U.S. 145,150,145,,14 S. Ct. 44,37 L. Ed. 1033,1893 U.S. LEXIS 2366,1893,805,Fuller,887,UNITED STATES v. THE LATE CORPORATION OF THE CHURCH OF JESUS CHRIST OF LATTERDAY SAINTS,,,27,,130,,2,,,0,15,52,15,52,0,1,,2,1,4,0,1,0,0,30160,3,1,0,4,,6,600,congressional authority,51,51,1,8,0
9541,1893-137,1893-137-01,1893-137-01-01,1893-137-01-01-01,2/5/1894,1,151 U.S. 639,151,639,,14 S. Ct. 465,38 L. Ed. 297,1894 U.S. LEXIS 2087,1893,805,Fuller,134,"BRYAN v. BOARD OF EDUCATION OF THE KENTUCKY CONFERENCE OF THE METHODIST EPISCOPAL CHURCH, SOUTH",12/6/1893,,237,,4,21,13,,,0,302,21,300,21,0,1,2,2,1,2,0,0,0,0,30160,3,2,0,3,,2,202,,45,51,1,8,0
9821,1894-123,1894-123-01,1894-123-01-01,1894-123-01-01-01,3/4/1895,1,156 U.S. 604,156,604,,15 S. Ct. 470,39 L. Ed. 550,1895 U.S. LEXIS 2167,1894,806,Fuller,424,GRIMM v. UNITED STATES,1/23/1895,,126,,27,,13,,,0,86,,86,,0,1,,1,1,2,0,0,0,0,30200,3,1,0,4,,6,600,RS para 3893,52,51,1,8,0
10059,1895-109,1895-109-01,1895-109-01-01,1895-109-01-01-01,1/27/1896,1,161 U.S. 29,161,29,,16 S. Ct. 434,40 L. Ed. 606,1896 U.S. LEXIS 2135,1895,807,Fuller,424,ROSEN v. UNITED STATES,10/29/1895,,126,,27,,13,,,0,426,,426,,0,1,,1,1,2,0,0,0,0,30200,3,1,0,4,,6,600,RS para 3893,45,51,1,6,2
10100,1895-150,1895-150-01,1895-150-01-01,1895-150-01-01-01,3/9/1896,1,161 U.S. 446,161,446,,16 S. Ct. 562,40 L. Ed. 765,1896 U.S. LEXIS 2176,1895,807,Fuller,567,SWEARINGEN v. UNITED STATES,,,100,,27,,13,,,0,72,,72,,0,1,,1,1,4,0,1,0,0,30200,3,2,0,4,,6,600,RS para 3893,54,51,1,5,4
10144,1895-194,1895-194-01,1895-194-01-01,1895-194-01-01-01,4/13/1896,1,162 U.S. 420,162,420,,16 S. Ct. 798,40 L. Ed. 1023,1896 U.S. LEXIS 2220,1895,807,Fuller,532,ANDREWS v. UNITED STATES,,,126,,27,,13,,,0,51,,51,,0,1,,1,1,2,0,0,0,0,30200,3,1,0,4,,6,600,RS para 3893,54,51,1,9,0
10312,1896-090,1896-090-01,1896-090-01-01,1896-090-01-01-01,2/15/1897,1,165 U.S. 311,165,311,,17 S. Ct. 366,41 L. Ed. 727,1897 U.S. LEXIS 1970,1896,807,Fuller,625,PRICE v. UNITED STATES,,,126,,27,,13,,,0,50,,50,,0,1,,1,1,2,0,0,0,0,30200,3,1,0,7,3,9,900,,57,51,1,9,0
10330,1896-110,1896-110-01,1896-110-01-01,1896-110-01-01-01,2/15/1897,1,165 U.S. 486,165,486,,17 S. Ct. 375,41 L. Ed. 799,1897 U.S. LEXIS 1990,1896,807,Fuller,472,DUNLOP v. UNITED STATES,12/21/1896,,126,,27,,13,,,0,66,,66,,0,1,,1,1,2,0,0,0,0,30200,3,1,0,7,,9,900,,53,51,1,9,0
10398,1896-179,1896-179-01,1896-179-01-01,1896-179-01-01-01,5/10/1897,1,167 U.S. 43,167,43,,17 S. Ct. 731,42 L. Ed. 71,1897 U.S. LEXIS 2077,1896,807,Fuller,229,DAVIS v. MASSACHUSETTS,3/25/1897,,126,,28,26,13,,,0,302,26,302,26,0,1,,1,1,2,0,0,0,0,30010,3,1,0,4,,2,230,,56,51,1,9,0
10852,1899-023,1899-023-01,1899-023-01-01,1899-023-01-01-01,12/4/1899,1,175 U.S. 291,175,291,,20 S. Ct. 121,44 L. Ed. 168,1899 U.S. LEXIS 1565,1899,808,Fuller,76,BRADFIELD v. ROBERTS,10/27/1899,,240,,408,,2,,,0,19,,32,,0,1,4,1,1,2,0,0,0,0,30170,3,1,0,1,,2,203,,57,51,1,9,0
12378,1906-148,1906-148-01,1906-148-01-01,1906-148-01-01-01,3/4/07,1,205 U.S. 34,205,34,,27 S. Ct. 419,51 L. Ed. 696,1907 U.S. LEXIS 1450,1906,811,Fuller,174,HALTER v. NEBRASKA,,,126,,28,32,13,,,0,302,32,300,32,0,1,,1,1,2,0,0,0,0,30020,3,1,0,2,,6,600,"14th Amendment, privileges & immunities, due proces, eual protection",45,51,1,8,1
12652,1908-035,1908-035-01,1908-035-01-01,1908-035-01-01-01,12/21/08,1,211 U.S. 437,211,437,,29 S. Ct. 144,53 L. Ed. 271,1908 U.S. LEXIS 1556,1908,811,Fuller,109,"MCCANDLESS v. PRATT, LAND COMMISSIONER OF HAWAII",11/6/08,,174,,19,15,13,117,15,0,17,15,15,15,0,1,3,1,1,9,0,0,0,0,30010,3,1,0,3,,9,900,,58,51,1,9,0
12746,1908-129,1908-129-01,1908-129-01-01,1908-129-01-01-01,4/12/09,1,213 U.S. 288,213,288,,29 S. Ct. 490,53 L. Ed. 801,1909 U.S. LEXIS 1874,1908,811,Fuller,14 ORIG,MACFADDEN v. UNITED STATES,,,126,,27,,13,,,0,92,,23,,0,1,2,1,1,9,0,0,0,0,30200,3,1,0,7,,9,900,,61,51,1,9,0
12778,1908-161,1908-161-01,1908-161-01-01,1908-161-01-01-01,5/17/09,1,214 U.S. 185,214,185,,29 S. Ct. 554,53 L. Ed. 960,1909 U.S. LEXIS 1906,1908,811,Fuller,191,"PECK, PETITIONER, v. TRIBUNE COMPANY",4/29/09,,174,,190,,1,,,0,410,,27,,0,12,2,1,1,3,0,1,0,0,30040,3,2,0,3,,9,900,,59,51,1,9,0
12780,1908-163,1908-163-01,1908-163-01-01,1908-163-01-01-01,5/24/09,1,214 U.S. 196,214,196,,29 S. Ct. 635,53 L. Ed. 965,1909 U.S. LEXIS 1908,1908,811,Fuller,196,ROGERS v. JONES,,,166,,5,29,13,,,0,302,29,300,29,0,1,2,1,1,9,0,0,0,0,30010,3,1,0,3,,9,900,,51,51,1,8,0
12858,1909-057,1909-057-01,1909-057-01-01,1909-057-01-01-01,1/24/10,1,215 U.S. 554,215,554,,30 S. Ct. 209,54 L. Ed. 325,1910 U.S. LEXIS 1862,1909,812,Fuller,469,LOWREY v. TERRITORY OF HAWAII,12/6/09,,102,,28,15,2,,,0,15,15,15,15,0,1,,1,1,4,0,1,0,0,30160,3,2,0,2,,2,202,,58,51,1,6,0
13097,1910-121,1910-121-01,1910-121-01-01,1910-121-01-01-01,5/1/11,1,220 U.S. 502,220,502,,31 S. Ct. 490,55 L. Ed. 561,1911 U.S. LEXIS 1694,1910,901,White,128,SPERRY AND HUTCHINSON COMPANY v. RHODES,4/19/11,,122,,174,,13,,,0,302,37,302,37,0,1,,1,1,2,0,0,0,0,30020,3,1,0,4,2,2,230,,59,56,1,9,0
13130,1910-154,1910-154-01,1910-154-01-01,1910-154-01-01-01,5/29/11,1,221 U.S. 467,221,467,,31 S. Ct. 709,55 L. Ed. 815,1911 U.S. LEXIS 1748,1910,901,White,159,FIFTH AVENUE COACH COMPANY v. CITY OF NEW YORK,4/27/11,,122,,3,37,13,,,0,302,37,302,37,0,1,,1,1,2,0,0,0,0,30020,3,1,0,4,,6,600,state outdoor advertising,58,56,1,9,0
13256,1911-107,1911-107-01,1911-107-01-01,1911-107-01-01-01,1/9/12,1,222 U.S. 404,222,404,,32 S. Ct. 134,56 L. Ed. 249,1912 U.S. LEXIS 2192,1911,901,White,73,VOGT v. GRAFF AND VOGT,11/17/11,,166,,102,,2,,,0,19,,32,,0,1,2,3,1,2,0,0,0,0,30010,3,2,0,3,,9,900,,58,56,1,7,0
13397,1912-005,1912-005-01,1912-005-01-01,1912-005-01-01-01,11/18/12,1,226 U.S. 53,226,53,,33 S. Ct. 6,57 L. Ed. 119,1912 U.S. LEXIS 2130,1912,902,White,31,"SMITH AND OTHERS, TRADING UNDER THE FIRM NAME OF STREET & SMITH, APPELLANTS, v. HITCHCOCK, POSTMASTER-GENERAL",11/5/12,,220,,412,,2,112,,0,19,,32,,0,1,3,1,1,2,0,0,0,0,30010,3,1,0,5,,6,600,2d class mail,59,56,1,9,0
13501,1912-109,1912-109-01,1912-109-01-01,1912-109-01-01-01,2/24/13,1,227 U.S. 427,227,427,,33 S. Ct. 383,57 L. Ed. 583,1913 U.S. LEXIS 2315,1912,902,White,691,BARTELL v. UNITED STATES,1/14/13,,126,,27,,13,,,0,115,,115,,0,1,,1,1,2,0,0,0,0,30200,3,1,0,4,,6,600,mailing indecent matter.,60,56,1,9,0
13627,1912-235,1912-235-01,1912-235-01-01,1912-235-01-01-01,6/10/13,1,229 U.S. 288,229,288,,33 S. Ct. 867,57 L. Ed. 1190,1913 U.S. LEXIS 2444,1912,902,White,818,"LEWIS PUBLISHING COMPANY v. MORGAN, POSTMASTER IN NEW YORK CITY",12/2/12,,412,,19,37,2,112,,0,96,,96,,0,1,,2,1,2,0,0,0,0,30010,3,2,0,5,4,6,600,2d class mail,56,56,1,9,0
13667,1912-276,1912-276-01,1912-276-01-01,1912-276-01-01-01,6/16/13,1,230 U.S. 165,230,165,,33 S. Ct. 1043,57 L. Ed. 1439,1913 U.S. LEXIS 2685,1912,902,White,218,NALLE v. OYSTER,,,230,,21,10,13,,,0,19,,32,,0,1,2,1,1,4,0,1,0,0,30030,3,2,0,3,,5,506,,66,56,1,9,0
13691,1913-010,1913-010-01,1913-010-01-01,1913-010-01-01-01,12/22/13,1,231 U.S. 588,231,588,,34 S. Ct. 175,58 L. Ed. 384,1913 U.S. LEXIS 2523,1913,902,White,41,BAKER v. WARNER,11/5/13,,19,10,220,,13,,,0,19,,32,,0,1,4,2,1,4,0,1,0,0,30030,3,3,0,3,3,9,900,,65,56,1,9,0
13757,1913-076,1913-076-01,1913-076-01-01,1913-076-01-01-01,6/22/14,1,234 U.S. 640,234,640,,34 S. Ct. 932,58 L. Ed. 1512,1914 U.S. LEXIS 1117,1913,902,White,267,"ORDER OF ST. BENEDICT OF NEW JERSEY v. STEINHAUSER, INDIVIDUALLY AND AS ADMINISTRATOR OF WIRTH",3/11/14,,195,,102,,1,,,0,420,,28,,0,12,4,2,1,2,0,0,0,0,30160,3,2,0,3,,9,900,,63,56,1,9,0
13814,1913-133,1913-133-01,1913-133-01-01,1913-133-01-01-01,5/25/14,1,234 U.S. 91,234,91,,34 S. Ct. 712,58 L. Ed. 1231,1914 U.S. LEXIS 1192,1913,902,White,270,OCAMPO v. UNITED STATES,3/12/14,,220,,27,,13,,,0,17,62,15,62,0,1,2,1,1,2,0,0,0,0,30030,3,1,0,2,,6,600,"delegation of powers; 14th Amendment, due process & equal protection",66,56,1,8,0
14187,1914-211,1914-211-01,1914-211-01-01,1914-211-01-01-01,2/23/15,1,236 U.S. 230,236,230,,35 S. Ct. 387,59 L. Ed. 552,1915 U.S. LEXIS 1755,1914,903,White,456,MUTUAL FILM CORPORATION v. INDUSTRIAL COMMISSION OF OHI,1/6/15,,156,,4,41,2,117,41,1,103,,103,,0,1,,1,1,2,0,0,0,0,30190,3,1,0,4,2,2,200,,58,56,1,9,0
14188,1914-212,1914-212-01,1914-212-01-01,1914-212-01-01-01,2/23/15,1,236 U.S. 247,236,247,,35 S. Ct. 393,59 L. Ed. 561,1915 U.S. LEXIS 1756,1914,903,White,457,MUTUAL FILM COMPANY v. INDUSTRIAL COMMISSION OF OHI,1/6/15,,156,,4,41,2,117,41,1,103,,103,,0,1,,1,1,2,0,0,0,0,30190,3,1,0,4,2,2,200,,58,56,1,9,0
14189,1914-213,1914-213-01,1914-213-01-01,1914-213-01-01-01,2/23/15,1,236 U.S. 248,236,248,,35 S. Ct. 393,59 L. Ed. 561,1915 U.S. LEXIS 1757,1914,903,White,597,"MUTUAL FILM CORPORATION OF MISSOURI v. HODGES, GOVERNOR OF THE STATE OF KANSAS",1/6/15,,156,,19,20,2,117,20,1,72,,72,,0,1,,2,1,2,0,0,0,0,30190,3,2,0,2,4,6,600,interstate commerce clause & 1st Amendment,58,56,1,9,0
14191,1914-215,1914-215-01,1914-215-01-01,1914-215-01-01-01,2/23/15,1,236 U.S. 273,236,273,,35 S. Ct. 383,59 L. Ed. 573,1915 U.S. LEXIS 1759,1914,903,White,134,FOX v. STATE OF WASHINGTON,,,126,,28,56,13,,,0,302,56,301,56,0,1,2,1,1,2,0,0,0,0,30190,3,1,0,4,2,2,230,,59,56,1,9,0
14263,1915-013,1915-013-01,1915-013-01-01,1915-013-01-01-01,12/13/15,1,239 U.S. 325,239,325,,36 S. Ct. 131,60 L. Ed. 308,1915 U.S. LEXIS 1448,1915,903,White,644,"WEBER v. FREED, DEPUTY COLLECTOR OF UNITED STATES CUSTOMS",12/1/15,,195,,321,,2,21,,0,92,,23,,0,1,2,1,1,2,0,0,0,0,30020,3,1,0,3,,9,900,,56,56,1,8,0
14746,1917-034,1917-034-01,1917-034-01-01,1917-034-01-01-01,11/5/17,1,245 U.S. 33,245,33,,38 S. Ct. 30,62 L. Ed. 135,1917 U.S. LEXIS 1783,1917,905,White,337,SMITH v. INTERSTATE COMMERCE COMMISSION,10/2/17,,254,,366,,2,66,,0,19,,19,,0,1,2,1,1,2,0,0,0,0,30020,3,1,0,3,,9,900,,58,56,1,9,0
14747,1917-035,1917-035-01,1917-035-01-01,1917-035-01-01-01,11/5/17,1,245 U.S. 47,245,47,,38 S. Ct. 34,62 L. Ed. 141,1917 U.S. LEXIS 1784,1917,905,White,339,SMITH v. INTERSTATE COMMERCE COMMISSION,10/3/17,,254,,366,,2,66,,0,19,,19,,0,1,2,1,1,2,0,0,0,0,30020,3,1,0,3,,9,900,,58,56,1,9,0
14748,1917-036,1917-036-01,1917-036-01-01,1917-036-01-01-01,11/5/17,1,245 U.S. 48,245,48,,38 S. Ct. 34,62 L. Ed. 142,1917 U.S. LEXIS 1785,1917,905,White,340,JONES v. INTERSTATE COMMERCE COMMISSION,10/3/17,,254,,366,,2,66,,0,19,,19,,0,1,2,1,1,2,0,0,0,0,30020,3,1,0,3,,9,900,,58,56,1,9,0
14888,1917-176,1917-176-01,1917-176-01-01,1917-176-01-01-01,5/6/18,6,247 U.S. 1,247,1,,38 S. Ct. 422,62 L. Ed. 939,1918 U.S. LEXIS 1984,1917,905,White,257,"SHEPARD et al. v. BARKLEY, MODERATOR OF THE GENERAL ASSEMBLY AND CHAIRMAN OF THE EXECUTIVE COMMISSION OF THE GENERAL ASSEMBLY OF THE PRESBYTERIAN CHURCH IN THE UNITED STATES OF AMERICA, et al.",4/23/18,,195,,130,,2,,,0,87,,28,,0,1,2,3,1,2,0,0,0,0,30160,3,3,0,1,,2,900,,56,56,1,9,0
14907,1917-195,1917-195-01,1917-195-01-01,1917-195-01-01-01,1/14/18,1,245 U.S. 474,245,474,,38 S. Ct. 166,62 L. Ed. 410,1918 U.S. LEXIS 2121,1917,905,White,702,GOLDMAN et al. v. UNITED STATES,12/13/17,,142,,27,,13,,,0,96,,96,,0,1,,1,1,2,0,0,0,0,30060,3,1,0,4,,3,900,,56,56,1,9,0
14908,1917-196,1917-196-01,1917-196-01-01,1917-196-01-01-01,1/14/18,1,245 U.S. 478,245,478,,38 S. Ct. 168,62 L. Ed. 413,1918 U.S. LEXIS 2122,1917,905,White,680,KRAMER et al. v. UNITED STATES,12/13/17,,142,,27,,13,,,0,96,,96,,0,1,,1,1,2,0,0,0,0,30060,3,1,0,4,,3,900,,56,56,1,9,0
15008,1918-079,1918-079-01,1918-079-01-01,1918-079-01-01-01,6/2/19,1,250 U.S. 290,250,290,,39 S. Ct. 448,63 L. Ed. 987,1919 U.S. LEXIS 1746,1918,905,White,316,WASHINGTON POST COMPANY v. CHALONER,4/22/19,,190,,174,,1,,,0,19,,32,,0,12,2,1,1,4,0,1,0,0,30030,3,2,0,7,,9,900,,67,56,1,8,0
15081,1918-152,1918-152-01,1918-152-01-01,1918-152-01-01-01,3/24/19,1,249 U.S. 269,249,269,,39 S. Ct. 274,63 L. Ed. 599,1919 U.S. LEXIS 2151,1918,905,White,2,ST. LOUIS POSTER ADVERTISING COMPANY v. CITY OF ST. LOUIS et al.,3/12/19,,101,,3,30,2,,,0,86,,86,,0,1,,1,1,2,0,0,0,0,30020,3,1,0,3,,9,900,,59,56,1,9,0
15090,1918-161,1918-161-01,1918-161-01-01,1918-161-01-01-01,3/10/19,1,249 U.S. 204,249,204,,39 S. Ct. 249,63 L. Ed. 561,1919 U.S. LEXIS 2193,1918,905,White,685,FROHWERK v. UNITED STATES,1/27/19,,126,,27,,13,,,0,87,,87,,0,1,,1,1,2,0,0,0,0,30060,3,1,0,4,,3,369,,59,56,1,9,0
15091,1918-162,1918-162-01,1918-162-01-01,1918-162-01-01-01,3/10/19,1,249 U.S. 211,249,211,,39 S. Ct. 252,63 L. Ed. 566,1919 U.S. LEXIS 2194,1918,905,White,714,DEBS v. UNITED STATES,1/27/19,,126,,27,,13,,,0,103,,103,,0,1,,1,1,2,0,0,0,0,30060,3,1,0,4,,3,369,,59,56,1,9,0
15097,1918-168,1918-168-01,1918-168-01-01,1918-168-01-01-01,3/3/19,1,249 U.S. 47,249,47,,39 S. Ct. 247,63 L. Ed. 470,1919 U.S. LEXIS 2223,1918,905,White,437,SCHENCK v. UNITED STATES,1/9/19,,126,,27,,13,,,0,109,,109,,0,1,,1,1,2,0,0,0,0,30060,3,1,0,4,,3,346,,59,56,1,9,0
15117,1918-188,1918-188-01,1918-188-01-01,1918-188-01-01-01,3/3/19,1,249 U.S. 182,249,182,,39 S. Ct. 191,63 L. Ed. 550,1919 U.S. LEXIS 2243,1918,905,White,345,SUGARMAN v. UNITED STATES,1/9/19,,126,,27,,13,,,0,83,,83,,0,1,,1,1,9,0,0,0,0,30060,3,1,0,4,,3,369,,68,56,1,9,0
15170,1919-009,1919-009-01,1919-009-01-01,1919-009-01-01-01,11/10/19,1,250 U.S. 583,250,583,,40 S. Ct. 28,63 L. Ed. 1154,1919 U.S. LEXIS 1779,1919,905,White,264,STILSON v. UNITED STATES,10/20/19,,142,,27,,13,,,0,109,,109,,0,1,,1,1,2,0,0,0,0,30060,3,1,0,4,,3,369,,60,56,1,7,2
15175,1919-014,1919-014-01,1919-014-01-01,1919-014-01-01-01,11/10/19,1,250 U.S. 616,250,616,,40 S. Ct. 17,63 L. Ed. 1173,1919 U.S. LEXIS 1784,1919,905,White,316,ABRAMS et al. v. UNITED STATES,10/21/19,,142,,27,,13,,,0,96,,96,,0,1,,1,1,2,0,0,0,0,30060,3,1,0,3,,9,900,,69,56,1,7,2
15239,1919-078,1919-078-01,1919-078-01-01,1919-078-01-01-01,5/17/20,1,253 U.S. 142,253,142,,40 S. Ct. 444,64 L. Ed. 827,1920 U.S. LEXIS 1456,1919,905,White,221,O'CONNELL et al. v. UNITED STATES,4/23/20,,142,,27,,13,,,0,50,,50,,0,1,,1,1,2,0,0,0,0,30060,3,1,0,4,,3,369,,67,56,1,9,0
